hash,time,result,size
8e5e6b898750a7afbe683a953fbf30bd990bb57ccd2d904c76df29f61054e743,2020-08-14 20:24:20,0.02413,521
b357ef869a27affd4442e57367396dc404b5757da117d8903ef196fd021b57bc,2012-06-08 19:28:26,-46.783,436
95872d224d3f8e9da7a6d62f8c478897c6f0da82178c6e88e9cedf6c1d2a0ce1,2012-06-08 13:45:47,46.783,259
7445b79c8293dcacb1af66163cdb70fcfe7aca4858ad7653e6fae8f4f139db4b,2012-05-20 10:48:13,-1.0,257
92b155a730680b0fb8df2fd14e27d9db3f29ca64648f6a1c80ec0b5770f3a88f,2012-05-18 22:15:14,1.0,257
7a9884839ce6925f9b490b00d52f4a5cd869d431c837ff59acd03b6c444ab05b,2012-05-06 11:58:46,-0.01,439
599e47a8114fe098103663029548811d2651991b62397e057f0c863c2bc9f9ea,2012-05-04 16:32:23,0.01,257
dc95140fced008f892249144b138b0d3d992a02ff6be65a2efbeb0ce34bb9d1d,2012-04-21 02:27:52,-0.1,438
6f0d38ccc40cce1c4955eeb063579bfc8a9e9c11d23018c7df4cda7c31bc6c9b,2012-04-19 17:57:21,0.1,223
1bd9f150b5cd2a649a9321269dc6a1e00b7a565c0967aa687efc7ab10f2f5f6d,2012-04-19 15:13:40,-0.01,470
ac575d67a009457136b4a9d0981e39f346f3cacd159cab249299b40e546beaa5,2012-04-19 13:14:50,0.01,223
6cb7a76328ecbbe70afc54badd840d01752eec809b98c643b2f3918d5d098bf0,2012-04-18 03:47:37,-0.98247131,975
835e32e129d236b25155278a1d2aa6260e766933bbcedeff7d546c4f0e0398b1,2012-04-17 11:59:40,-1.0,257
cb2c0d9c5ad03553158827ec6842128bc73d5b2fe068e87805860c7b47193aad,2012-04-16 15:33:15,-0.68589004,258
b157d03b92a932499aa69dd15b5b1c182b8a19a1463df3e492ebc8c27a6b6e6b,2012-04-16 06:14:15,0.0005,2943
e4ce2b649d082c3e283042f73e13f213e410e024668694ef1cd835d6cf897cc1,2012-04-16 02:53:55,-0.61596604,258
9dc4cb433159b5aa61751c0135a9178ef34bdc5fc0d250776b61bc1d6a832470,2012-04-15 17:43:16,-0.07314621,257
2dfff0ba66c8ea264143559111880e2f2be8d346654e42d2b05394d595b108b0,2012-04-15 15:36:04,2.54994511,258
116c609df6200cb92c9219ba70de8e49593974bd746872b211e8d45dd7de861a,2012-04-15 01:42:56,0.80702849,257
e4719eeb14823f410457e57ce9b75cb75d33faafef35e9842a719cfcbc28d384,2012-04-12 10:31:58,-0.00025,618
c646c1916dc8a5b807952900b4c9b8821cd8c51f28fa101b6f68ea6afbe5e7f1,2012-04-12 05:50:10,0.00025,2944
5f6a9b8b565e5b714ec63218a1d5ae0b56a1ad673d9b90ee113b986557e4640d,2012-04-07 09:33:00,-3.26,258
7f43bf5e99ee51233cd2dc0058f33d54ae046fab4c4036b0f63aabbfbff4fcec,2012-04-06 22:23:22,3.26,436
fd1e014c760e9758fc1fccf5eaa7b9bb95243f95149162de682ba30f184f04e8,2012-04-06 13:04:25,-1.0,259
9a90c2797c61ac55ad13c7e8e3eee9835378e44dcc9474f038b23d2756527d47,2012-04-05 18:31:27,1.0,4229
a5108a2d9173d0c381314a3ac71d4c20a02c00ccb1b916a2986903413ce44557,2012-02-27 15:52:22,-3.0,16366
982969b2c54fc6dad7d90a5cf71765a8922d8a0fc10cca59e01d71c4899e9ade,2012-02-27 15:22:30,-0.43343553,1868
09dfadbc058e268704b88ab714cdd56a1f37c9e5fd0105c8dda6e28b955ef4a7,2012-02-26 01:59:37,3.0,796
449dd4d701c27841940be8e60f8baebee2365e226baa72d3dd43ba45a497420c,2012-02-21 22:40:44,0.43343553,18369
fb3130500bde25b1881dbd65dcf34c92fbbfe4fa9c957670215e8fc5dc5b9c54,2012-02-21 22:40:44,-0.117,35373
c5a0f9c07f6a28b6b83e71c6404dd42c134342244ce8bb5c8c164e64bc9cc806,2012-02-21 21:55:51,-1.0,27677
d623ee74b069eaa223938caeaf6ac7c9d615a6ccf4b1c264e1750c85b8a43bc1,2012-02-13 18:25:07,0.099,257
cb11dbad65622c83c7e46d36d0a1f1b2a6057b3f30ea2b8ac1dbe25fe3fa6601,2012-02-13 18:25:07,0.009,258
f2b3317c7fc18632cf69c40ada72806f00436156a4cd8c91de5e8ea913619dda,2012-02-13 18:25:07,0.009,258
5f787c1085d1a957b73fe70432cecde7e1ec4909c77b32b974f151055cab13bb,2012-02-12 21:11:16,1.0,258
793efce6a73a68d2902e67a00190867124beebbd64f36eaec3f9231204cd4712,2012-02-04 22:37:10,-0.06452304,8704
822be984963f4fae8e288be1974e44aaf83879256ab5a501ad5a32086ad86a4a,2012-02-03 14:53:17,-0.59521249,470
a543735c6d6038c6dbc983100363ee4ffd74313ddfa95ecd80036f92c5cec353,2012-02-03 14:53:17,-3.1337,291
23b397edccd3740a74adb603c9756370fafcde9bcc4483eb271ecad09a94dd63,2012-02-03 03:14:14,0.01,158
ef8b0524fc0974b84390322983e48eed6de0fab5ce20e0321b6a9cb4119748bf,2012-02-03 01:28:20,0.45452304,291
a4698d09b1590d9f3088e7b13df5c621892e46ccc5b13a9408c46f3d0d306a7a,2012-02-02 17:49:54,0.19521249,258
59ef4de62e1d44008c4939546402d3697ef1077a114bd86ad6d4e20372b2f46d,2012-01-28 21:28:10,3.1337,258
4d43eed38534b6cd61e35744876a666ef1d16f38c182b468d848be7875160754,2012-01-26 20:44:23,-0.001,33045
7f8b9f21b9b21862191d4a61565726bd2255e742c1203c8789e363a5186ec063,2012-01-19 06:12:30,0.001,14550
f329e55c2de9b821356e6f2c4bba923ea7030cad61120f5ced5d4429f5c86fda,2012-01-17 23:20:25,-15.00962304,24276
69b2bc27c6df2f671276c4d1ab490759a4a1b9b8d5791cd3492f9c4160392494,2012-01-16 17:38:14,10.0,258
ce1048bff11524cbce99c06d36cb9a50dc9dc1a52f2b57479f946f9bc3c6d25f,2012-01-09 20:24:35,5.0,291
86565c52cb9478fe733e048dd58f452dc3ce54b7fafc81eda268b3ef9a7bde09,2012-01-07 03:23:17,0.00962304,2081
fa1eaa558b750efe833e0beebb0214ed64bc857f260f1a84dc4cb46d930f8f40,2011-12-23 15:56:24,-15.00242304,14789
8df9935c9f633b303374ab9d4ec3600252bd138c51583f2bb18fb95330d22351,2011-12-22 15:02:32,15.0,258
