Date,n_tx
2015-05-22,102770.0
2015-05-25,106086.0
2015-05-28,110980.0
2015-05-31,98784.0
2015-06-03,127600.0
2015-06-06,92696.0
2015-06-09,121638.0
2015-06-12,126945.0
2015-06-15,129389.0
2015-06-18,124929.0
2015-06-21,96654.0
2015-06-24,113093.0
2015-06-27,106004.0
2015-06-30,155869.0
2015-07-03,129719.0
2015-07-06,174070.0
2015-07-09,191163.0
2015-07-12,208685.0
2015-07-15,115570.0
2015-07-18,130695.0
2015-07-21,133785.0
2015-07-24,109918.0
2015-07-27,115226.0
2015-07-30,123577.0
2015-08-02,103600.0
2015-08-05,133758.0
2015-08-08,101512.0
2015-08-11,114741.0
2015-08-14,111255.0
2015-08-17,115049.0
2015-08-20,118230.0
2015-08-23,94529.0
2015-08-26,122852.0
2015-08-29,107489.0
2015-09-01,130410.0
2015-09-04,103973.0
2015-09-07,125467.0
2015-09-10,124951.0
2015-09-13,146048.0
2015-09-16,167269.0
2015-09-19,114851.0
2015-09-22,136784.0
2015-09-25,128166.0
2015-09-28,138570.0
2015-10-01,134327.0
2015-10-04,103531.0
2015-10-07,134931.0
2015-10-10,127005.0
2015-10-13,134878.0
2015-10-16,143286.0
2015-10-19,143969.0
2015-10-22,147402.0
2015-10-25,131488.0
2015-10-28,160175.0
2015-10-31,155400.0
2015-11-03,186362.0
2015-11-06,166893.0
2015-11-09,159836.0
2015-11-12,157847.0
2015-11-15,143369.0
2015-11-18,165269.0
2015-11-21,151035.0
2015-11-24,152324.0
2015-11-27,160235.0
2015-11-30,182648.0
2015-12-03,164774.0
2015-12-06,179712.0
2015-12-09,220323.0
2015-12-12,204141.0
2015-12-15,223998.0
2015-12-18,213847.0
2015-12-21,229444.0
2015-12-24,210228.0
2015-12-27,160271.0
2015-12-30,176447.0
2016-01-02,149038.0
2016-01-05,182371.0
2016-01-08,181407.0
2016-01-11,191196.0
2016-01-14,183182.0
2016-01-17,204128.0
2016-01-20,209071.0
2016-01-23,190400.0
2016-01-26,230523.0
2016-01-29,224394.0
2016-02-01,222398.0
2016-02-04,200661.0
2016-02-07,212190.0
2016-02-10,235527.0
2016-02-13,184675.0
2016-02-16,215940.0
2016-02-19,217436.0
2016-02-22,237696.0
2016-02-25,216290.0
2016-02-28,233436.0
2016-03-02,270206.0
2016-03-05,234992.0
2016-03-08,200298.0
2016-03-11,189816.0
2016-03-14,191341.0
2016-03-17,208319.0
2016-03-20,178143.0
2016-03-23,186808.0
2016-03-26,159049.0
2016-03-29,197409.0
2016-04-01,211922.0
2016-04-04,208929.0
2016-04-07,218463.0
2016-04-10,186954.0
2016-04-13,223506.0
2016-04-16,182004.0
2016-04-19,226511.0
2016-04-22,210976.0
2016-04-25,217564.0
2016-04-28,247957.0
2016-05-01,191430.0
2016-05-04,233691.0
2016-05-07,202062.0
2016-05-10,245721.0
2016-05-13,232146.0
2016-05-16,239809.0
2016-05-19,219145.0
2016-05-22,184348.0
2016-05-25,247841.0
2016-05-28,193054.0
2016-05-31,215249.0
2016-06-03,234669.0
2016-06-06,221171.0
2016-06-09,236353.0
2016-06-12,210711.0
2016-06-15,259202.0
2016-06-18,235317.0
2016-06-21,248164.0
2016-06-24,237625.0
2016-06-27,217029.0
2016-06-30,231960.0
2016-07-03,177127.0
2016-07-06,214691.0
2016-07-09,185405.0
2016-07-12,219034.0
2016-07-15,216081.0
2016-07-18,222835.0
2016-07-21,217606.0
2016-07-24,183890.0
2016-07-27,235603.0
2016-07-30,199484.0
2016-08-02,251098.0
2016-08-05,228244.0
2016-08-08,235295.0
2016-08-11,254515.0
2016-08-14,200174.0
2016-08-17,238003.0
2016-08-20,208224.0
2016-08-23,239021.0
2016-08-26,226767.0
2016-08-29,225282.0
2016-09-01,237466.0
2016-09-04,183244.0
2016-09-07,250809.0
2016-09-10,193320.0
2016-09-13,239886.0
2016-09-16,211128.0
2016-09-19,223540.0
2016-09-22,231227.0
2016-09-25,195642.0
2016-09-28,234995.0
2016-10-01,213930.0
2016-10-04,264662.0
2016-10-07,266324.0
2016-10-10,222996.0
2016-10-13,229703.0
2016-10-16,197876.0
2016-10-19,199083.0
