Date,n_tx
2020-07-03,331009.0
2020-07-06,338767.0
2020-07-09,362718.0
2020-07-12,282364.0
2020-07-15,316064.0
2020-07-18,311022.0
2020-07-21,312871.0
2020-07-24,369432.0
2020-07-27,326769.0
2020-07-30,327789.0
2020-08-02,287869.0
2020-08-05,291814.0
2020-08-08,283631.0
2020-08-11,349952.0
2020-08-14,365679.0
2020-08-17,292944.0
2020-08-20,333683.0
2020-08-23,288728.0
2020-08-26,324184.0
2020-08-29,292783.0
2020-09-01,376508.0
2020-09-04,298286.0
2020-09-07,327662.0
2020-09-10,345981.0
2020-09-13,255110.0
2020-09-16,342609.0
2020-09-19,296357.0
2020-09-22,312989.0
2020-09-25,353070.0
2020-09-28,295476.0
2020-10-01,304757.0
2020-10-04,268019.0
2020-10-07,370554.0
2020-10-10,298486.0
2020-10-13,333215.0
2020-10-16,324647.0
2020-10-19,303929.0
2020-10-22,339087.0
2020-10-25,242273.0
2020-10-28,261340.0
2020-10-31,275796.0
2020-11-03,331673.0
2020-11-06,340351.0
2020-11-09,326383.0
2020-11-12,324855.0
2020-11-15,252715.0
2020-11-18,362007.0
2020-11-21,311189.0
2020-11-24,333293.0
2020-11-27,322445.0
2020-11-30,256551.0
2020-12-03,346921.0
