Date,n_tx
2009-01-17,109.0
2009-01-20,115.0
2009-01-23,86.0
2009-01-26,97.0
2009-01-29,122.0
2009-02-01,114.0
2009-02-04,119.0
2009-02-07,133.0
2009-02-10,120.0
2009-02-13,124.0
2009-02-16,123.0
2009-02-19,125.0
2009-02-22,125.0
2009-02-25,105.0
2009-02-28,100.0
2009-03-03,107.0
2009-03-06,117.0
2009-03-09,108.0
2009-03-12,119.0
2009-03-15,123.0
2009-03-18,116.0
2009-03-21,51.0
2009-03-24,105.0
2009-03-27,106.0
2009-03-30,120.0
2009-04-02,115.0
2009-04-05,132.0
2009-04-08,105.0
2009-04-11,121.0
2009-04-14,124.0
2009-04-17,112.0
2009-04-20,121.0
2009-04-23,75.0
2009-04-26,114.0
2009-04-29,129.0
2009-05-02,128.0
2009-05-05,136.0
2009-05-08,108.0
2009-05-11,121.0
2009-05-14,142.0
2009-05-17,127.0
2009-05-20,120.0
2009-05-23,31.0
2009-05-26,125.0
2009-05-29,107.0
2009-06-01,72.0
2009-06-04,65.0
2009-06-07,16.0
2009-06-10,82.0
2009-06-13,78.0
2009-06-16,71.0
2009-06-19,87.0
2009-06-22,77.0
2009-06-25,69.0
2009-06-28,47.0
2009-07-01,75.0
2009-07-04,89.0
2009-07-07,69.0
2009-07-10,81.0
2009-07-13,78.0
2009-07-16,71.0
2009-07-19,69.0
2009-07-22,61.0
2009-07-25,33.0
2009-07-28,41.0
2009-07-31,17.0
2009-08-03,12.0
2009-08-06,90.0
2009-08-09,101.0
2009-08-12,63.0
2009-08-15,26.0
2009-08-18,9.0
2009-08-21,13.0
2009-08-24,15.0
2009-08-27,29.0
2009-08-30,98.0
2009-09-02,65.0
2009-09-05,76.0
2009-09-08,69.0
2009-09-11,67.0
2009-09-14,74.0
2009-09-17,85.0
2009-09-20,78.0
2009-09-23,35.0
2009-09-26,100.0
2009-09-29,90.0
2009-10-02,73.0
2009-10-05,55.0
2009-10-08,70.0
2009-10-11,74.0
2009-10-14,69.0
2009-10-17,57.0
2009-10-20,96.0
2009-10-23,89.0
2009-10-26,71.0
2009-10-29,47.0
2009-11-01,25.0
2009-11-04,64.0
2009-11-07,69.0
2009-11-10,78.0
2009-11-13,83.0
2009-11-16,97.0
2009-11-19,72.0
2009-11-22,106.0
2009-11-25,90.0
2009-11-28,71.0
2009-12-01,74.0
2009-12-04,36.0
2009-12-07,112.0
2009-12-10,104.0
2009-12-13,114.0
2009-12-16,137.0
2009-12-19,199.0
2009-12-22,162.0
2009-12-25,150.0
2009-12-28,137.0
2009-12-31,138.0
2010-01-03,186.0
2010-01-06,163.0
2010-01-09,151.0
2010-01-12,161.0
2010-01-15,142.0
2010-01-18,126.0
2010-01-21,184.0
2010-01-24,155.0
2010-01-27,166.0
2010-01-30,214.0
2010-02-02,146.0
2010-02-05,227.0
2010-02-08,208.0
2010-02-11,174.0
2010-02-14,219.0
2010-02-17,250.0
2010-02-20,210.0
2010-02-23,251.0
2010-02-26,176.0
2010-03-01,199.0
2010-03-04,188.0
2010-03-07,183.0
2010-03-10,169.0
2010-03-13,154.0
2010-03-16,129.0
2010-03-19,162.0
2010-03-22,186.0
2010-03-25,202.0
2010-03-28,192.0
2010-03-31,214.0
2010-04-03,166.0
2010-04-06,174.0
2010-04-09,224.0
2010-04-12,247.0
2010-04-15,290.0
2010-04-18,3351.0
2010-04-21,251.0
2010-04-24,202.0
2010-04-27,233.0
2010-04-30,170.0
2010-05-03,188.0
2010-05-06,177.0
2010-05-09,183.0
2010-05-12,158.0
2010-05-15,113.0
2010-05-18,223.0
2010-05-21,235.0
2010-05-24,250.0
2010-05-27,267.0
2010-05-30,200.0
2010-06-02,194.0
2010-06-05,190.0
2010-06-08,223.0
